f111	x	y	elev240	slope240	forest240	dtree240	dhigh240	descape240	rghasp240	amuse	elkuse	wolfuse	road240
1	542343.78694287	5000913.9525786	2744.609	18.32813	61	1.40625	17.48772	1.40625	0.9645586	0	18768.55	0	0
1	542583.78694287	5000913.9525786	2642.656	30.0625	64	0	16.46671	0	1.169626	0	13895.07	0	0
1	542823.78694287	5000913.9525786	2540.359	22.8125	64	0	28.89429	0	0.9689633	0	12370.3	0	0
1	543063.78694287	5000913.9525786	2485.375	13.60938	64	0	109.4075	0	0.9160942	0	13412.01	0	0
1	543303.78694287	5000913.9525786	2455.531	7.203125	64	0	206.0187	0	0.8425602	0	13727.19	0	0
1	543543.78694287	5000913.9525786	2472.469	11.92188	64	0	136.8287	0	0.7759115	0	13203.03	0	0
1	543783.78694287	5000913.9525786	2529.188	24.34375	64	0	7.918557	0	1.055639	0	11328.79	0	0
1	544023.78694287	5000913.9525786	2628.688	28.57813	62	0.9375	0	0	1.246152	0	10731.64	0	0
1	544263.78694287	5000913.9525786	2736.75	31.20313	64	0	0.46875	0	1.257938	0	9910.846	0	0
1	544503.78694287	5000913.9525786	2756.891	34.35938	64	0	0	0	1.309389	0	10066.41	0	0
1	544743.78694287	5000913.9525786	2832.75	30.85938	41	12.76999	0	0	1.245737	0	10114.26	0	0
1	544983.78694287	5000913.9525786	2842.75	33.46875	63	0.46875	0	0	1.192046	0	11006.65	0	0
1	545223.78694287	5000913.9525786	2911.281	30.57813	59	3.006663	1.40625	1.40625	1.219695	0	14203.31	0	0
1	545463.78694287	5000913.9525786	2900.156	21.73438	52	7.061482	22.42985	7.061482	1.18651	0	20523.48	0	0
1	545703.78694287	5000913.9525786	2870.031	20.78125	61	1.40625	15.72338	1.40625	1.080291	0	22604.08	0	0
1	545943.78694287	5000913.9525786	2800.016	26.32813	64	0	18.48568	0	0.9810435	0	23921.38	0	0
1	546183.78694287	5000913.9525786	2710.328	22.90625	64	0	18.2111	0	0.9469177	0	22654.29	0	0
1	546423.78694287	5000913.9525786	2638.109	18.5625	64	0	60.77023	0	0.9942709	0	23550.62	0	0
1	546663.78694287	5000913.9525786	2606.063	17.23438	64	0	124.9398	0	0.9033226	0	25171.99	0	0
1	546903.78694287	5000913.9525786	2568.203	18	64	0	107.2039	0	1.010527	0	25915.54	0	0
1	547143.78694287	5000913.9525786	2522.281	12.10938	64	0	102.611	0	0.9662266	0	26528.01	0	0
1	514983.78694287	5000673.9525786	1858.438	23.5625	0	1066.515	9.160877	9.160877	1.104425	0.03304789	2299.654	0	18.35938
1	515223.78694287	5000673.9525786	1921.141	21.53125	0	899.8762	24.30049	24.30049	1.024951	0.04680168	2529.084	0	1.25
1	515463.78694287	5000673.9525786	1970.906	22.71875	0	727.3086	55.66867	55.66867	1.165324	0.06442133	3375.027	0	0
1	515703.78694287	5000673.9525786	2007.703	14.92188	0	602.8285	129.8913	129.8913	1.085235	0.0785154	3802.801	0	0
1	515943.78694287	5000673.9525786	1998.109	13.89063	0	534.5373	124.6085	124.6085	1.038189	0.103486	3972.714	0	0
1	516183.78694287	5000673.9525786	2017.859	15.875	0	354	17.77165	17.77165	1.088789	0.1333025	3663.249	0	0.171875
1	516423.78694287	5000673.9525786	1963.797	23.51563	3	128.5678	43.86881	43.86881	1.001735	0.1560441	3414.795	0	2.453125
1	516663.78694287	5000673.9525786	1929.844	11.85938	34	22.13121	98.32584	22.13121	0.9652187	0.1947448	3416.376	0	5.96875
1	516903.78694287	5000673.9525786	1974.5	17.0625	7	99.66753	116.1942	99.66753	0.9889705	0.2394049	3545.74	0	12.4375
1	517143.78694287	5000673.9525786	1987.938	18.67188	0	290.405	70.66959	70.66959	1.015883	0.2727967	3539.912	0	21.25
1	517383.78694287	5000673.9525786	1989.703	17.4375	0	474.3545	35.96288	35.96288	1.156537	0.3288527	3696.251	0	23.125
1	517623.78694287	5000673.9525786	2011.078	19.10938	0	605.3414	85.6606	85.6606	1.017183	0.3925774	3863.622	0	23.125
1	517863.78694287	5000673.9525786	2002.656	17.21875	0	527.9673	89.06234	89.06234	1.002557	0.4395054	4163.518	0	22.65625
1	518103.78694287	5000673.9525786	2005.813	15.71875	0	324.3879	101.2845	101.2845	1.056959	0.516403	4371.345	0	19.82813
1	518343.78694287	5000673.9525786	1996.656	13.875	1	122.1645	164.3359	122.1645	0.982496	0.6001236	4521.789	0	16.07813
1	518583.78694287	5000673.9525786	2014.156	11.53125	41	16.49695	112.7066	16.49695	1.072288	0.6586714	4817.713	0	8.25
1	518823.78694287	5000673.9525786	2034.047	7.875	11	66.3905	126.1153	66.3905	0.9951239	0.7480701	4809.007	0	0.75
1	519063.78694287	5000673.9525786	2009.391	12.875	31	31.8085	183.7724	31.8085	1.034339	0.8352444	4720.488	0	0
