"x","y","elkuse","Prob","CumProb"
531543.78694287,4983393.9525786,0.142658788492088,0.00206017613650595,0.149272171937516
530823.78694287,4984833.9525786,0.0135651134166128,0.00205681582441648,0.151328987761933
530583.78694287,4984833.9525786,0.0163585525734402,0.00204187551903547,0.153370863280968
530343.78694287,4982673.9525786,0.153387562208444,0.00203529482029926,0.155406158101267
531303.78694287,4983153.9525786,0.188537632520546,0.00202689827732094,0.157433056378588
531783.78694287,4983633.9525786,0.0931677833152427,0.00202140465850684,0.159454461037095
531783.78694287,4983873.9525786,0.0775886085608758,0.00201857055835345,0.161473031595449
529623.78694287,4984353.9525786,0.0224440503909125,0.00200680095041998,0.163479832545869
531783.78694287,4984113.9525786,0.0550392086840665,0.00200421350683946,0.165484046052708
531063.78694287,4984833.9525786,0.0150050071054516,0.00200138226407915,0.167485428316787
531543.78694287,4984593.9525786,0.0190320005895311,0.00200133672726936,0.169486765044057
531783.78694287,4984353.9525786,0.0288215955276406,0.00197144015305856,0.171458205197115
529383.78694287,4983873.9525786,0.0387979144916938,0.00196537453334508,0.173423579730460
531783.78694287,4983393.9525786,0.110109292604904,0.00196021261064229,0.175383792341102
529623.78694287,4983153.9525786,0.108015428282184,0.00194176036650204,0.177325552707604
530343.78694287,4984833.9525786,0.0273546943737027,0.00193761476280341,0.179263167470408
529863.78694287,4984593.9525786,0.0320406350827536,0.00193497022625309,0.181198137696661
529863.78694287,4982913.9525786,0.139036412235673,0.00193369650669589,0.183131834203357
529383.78694287,4983633.9525786,0.0596667108263944,0.00192844413909027,0.185060278342447
531063.78694287,4982673.9525786,0.177093655727886,0.00191059905618218,0.186970877398629
529383.78694287,4984113.9525786,0.0289212146580654,0.00190378522213387,0.188874662620763
531303.78694287,4984833.9525786,0.0175766532757271,0.00189974044210928,0.190774403062872
531543.78694287,4983153.9525786,0.166629136088146,0.00189519926313284,0.192669602326005
530103.78694287,4982673.9525786,0.153163324580654,0.00189226866817352,0.194561870994179
531303.78694287,4982913.9525786,0.193408551083228,0.00186935704019445,0.196431228034373
531783.78694287,4983153.9525786,0.126270088253673,0.00184809444268523,0.198279322477058
532023.78694287,4984113.9525786,0.0430862226623301,0.00183180386459552,0.200111126341654
532023.78694287,4983873.9525786,0.0658096868158178,0.00182774627302558,0.201938872614680
531783.78694287,4984593.9525786,0.0197661496354250,0.00182640019749258,0.203765272812172
530103.78694287,4984833.9525786,0.0338230113678058,0.00182066514283656,0.205585937955009
529383.78694287,4984353.9525786,0.0188796761581425,0.00181158940207349,0.207397527357082
529623.78694287,4984593.9525786,0.0247286549358947,0.00180405285057831,0.209201580207661
530583.78694287,4982433.9525786,0.165327364629221,0.00179883423549354,0.211000414443154
529383.78694287,4983393.9525786,0.0906917691819451,0.00179761063742834,0.212798025080582
532023.78694287,4984353.9525786,0.0230083841794216,0.00179013440266053,0.214588159483243
531543.78694287,4984833.9525786,0.0186912350627582,0.00177592827048976,0.216364087753733
532023.78694287,4983633.9525786,0.09215474144818,0.00176752267899061,0.218131610432723
530823.78694287,4982433.9525786,0.175406824171196,0.00175124746750779,0.219882857900231
530823.78694287,4985073.9525786,0.0223825851255146,0.00174222372117094,0.221625081621402
530583.78694287,4985073.9525786,0.024303753006534,0.00173354236507062,0.223358623986473
532023.78694287,4983393.9525786,0.110680378259688,0.00170297857310498,0.225061602559578
531063.78694287,4985073.9525786,0.0246061027424332,0.00169676334801597,0.226758365907594
529383.78694287,4983153.9525786,0.108268506856001,0.00169280970999344,0.228451175617587
530343.78694287,4982433.9525786,0.177367135414886,0.00168672234036135,0.230137897957948
531303.78694287,4982673.9525786,0.197529168506126,0.00168145726945969,0.231819355227408
529863.78694287,4982673.9525786,0.162255032651225,0.00167851285796314,0.233497868085371
529863.78694287,4984833.9525786,0.0403572172638317,0.00167802615987248,0.235175894245244
529143.78694287,4983873.9525786,0.0478305146294884,0.00167571328921926,0.236851607534463
529623.78694287,4982913.9525786,0.147597342129005,0.00167256671409320,0.238524174248556
529143.78694287,4984113.9525786,0.0301602985309735,0.00166850734046606,0.240192681589022
531543.78694287,4982913.9525786,0.196565863447096,0.00165901330657125,0.241851694895593
529383.78694287,4984593.9525786,0.0188847691607204,0.00165401857810026,0.243505713473694
529143.78694287,4983633.9525786,0.0649602903973028,0.00165273313936517,0.245158446613059
532023.78694287,4983153.9525786,0.119967512114893,0.00163928672106017,0.246797733334119
531063.78694287,4982433.9525786,0.188942482571185,0.00163518493708529,0.248432918271204
529143.78694287,4984353.9525786,0.0152883817688889,0.00162108667698857,0.250054004948193
532263.78694287,4984113.9525786,0.0411782092793977,0.00161876152481642,0.251672766473009
532263.78694287,4983873.9525786,0.0607496286888265,0.00161751147158456,0.253290277944594
532023.78694287,4984593.9525786,0.0270604061333127,0.00161714454724033,0.254907422491834
531303.78694287,4985073.9525786,0.0285044033270857,0.00161355178037526,0.256520974272210
530103.78694287,4982433.9525786,0.174568574152609,0.00159910576383218,0.258120080036042
530343.78694287,4985073.9525786,0.0482635653629737,0.00159422500225004,0.259714305038292
529623.78694287,4984833.9525786,0.0297462810756937,0.0015924849326064,0.261306789970898
531783.78694287,4982913.9525786,0.168641890706953,0.00158028387360701,0.262887073844505
531783.78694287,4984833.9525786,0.0325648069080765,0.00157947985022502,0.26446655369473
532263.78694287,4984353.9525786,0.0266735125546195,0.00157132428973202,0.266037877984462
532263.78694287,4983633.9525786,0.0849667686383762,0.00156563847380654,0.267603516458269
529143.78694287,4983393.9525786,0.0962966039675462,0.00153684431983345,0.269140360778102
531543.78694287,4985073.9525786,0.0326177159291435,0.00150683140627707,0.270647192184379
529143.78694287,4984593.9525786,0.0117043339947320,0.00150664973721004,0.272153841921589
529383.78694287,4982913.9525786,0.139038333025216,0.00150251355348872,0.273656355475078
530583.78694287,4982193.9525786,0.182474893148879,0.00149901804080107,0.275155373515879
532263.78694287,4983393.9525786,0.105962744523166,0.001496219078109,0.276651592593988
529623.78694287,4982673.9525786,0.165296690202266,0.00149059039315556,0.278142182987144
532263.78694287,4983153.9525786,0.103182809098888,0.00148973847873854,0.279631921465882
531303.78694287,4982433.9525786,0.203652034411084,0.00147975492819531,0.281111676394077
529383.78694287,4984833.9525786,0.0222685891763841,0.0014791744925583,0.282590850886636
530103.78694287,4985073.9525786,0.0631832108349317,0.00147270455687741,0.284063555443513
530823.78694287,4985313.9525786,0.0315037161995499,0.00147114386904898,0.285534699312562
532023.78694287,4982913.9525786,0.150741732817761,0.0014550602667952,0.286989759579357
529143.78694287,4983153.9525786,0.112603088592917,0.0014548138405489,0.288444573419906
530583.78694287,4985313.9525786,0.035851423331681,0.00145443114010308,0.289899004560009
531543.78694287,4982673.9525786,0.217149800871894,0.00145031647257145,0.291349321032581
530823.78694287,4982193.9525786,0.195325120710491,0.00144873983641605,0.292798060868997
529863.78694287,4982433.9525786,0.182492966032312,0.00144152576740294,0.294239586636400
531063.78694287,4985313.9525786,0.0341367403266077,0.00143446020723107,0.295674046843631
532503.78694287,4983873.9525786,0.0546457087534579,0.00142984598495336,0.297103892828584
532263.78694287,4982913.9525786,0.107466344398537,0.00142529610406768,0.298529188932652
530343.78694287,4982193.9525786,0.192120778105674,0.00142236179635989,0.299951550729012
532503.78694287,4984113.9525786,0.0398008867650881,0.00142089607774039,0.301372446806752
532503.78694287,4983633.9525786,0.0689259350274719,0.00141574426610270,0.302788191072855
528903.78694287,4983873.9525786,0.0589992946657076,0.00141516460115670,0.304203355674012
528903.78694287,4984113.9525786,0.0423879574574568,0.00141283633870077,0.305616192012712
