"x","y","descape240","Prob","CumProb"
531543.78694287,4985073.9525786,0,0.00161269380469221,0.317291090940772
531063.78694287,4984833.9525786,0.00647220895020189,0.00160879243729695,0.318899883378069
531543.78694287,4984593.9525786,0.00726081931359354,0.00158437137228846,0.320484254750357
530583.78694287,4985313.9525786,0,0.00157705228006677,0.322061307030424
530823.78694287,4985313.9525786,0,0.00157696357198916,0.323638270602413
531783.78694287,4984353.9525786,0.00775079912516824,0.00157469240274033,0.325212963005153
528903.78694287,4984113.9525786,0,0.00156184918115302,0.326774812186306
532503.78694287,4982673.9525786,0,0.00155593018019798,0.328330742366504
530343.78694287,4985313.9525786,0,0.00155339734006536,0.329884139706570
531063.78694287,4985313.9525786,0,0.00155313816716909,0.331437277873739
532023.78694287,4984833.9525786,0,0.00155126614697697,0.332988544020716
532023.78694287,4984353.9525786,0.00545262028936743,0.00154296285447251,0.334531506875188
532023.78694287,4981953.9525786,0,0.00154216112765939,0.336073668002848
529143.78694287,4984593.9525786,0,0.00153992230037382,0.337613590303221
531783.78694287,4984593.9525786,0.00591457772543742,0.00153572736078486,0.339149317664006
529383.78694287,4984353.9525786,0.00568359858681023,0.00153330297770799,0.340682620641714
532263.78694287,4982193.9525786,0,0.00153132758913338,0.342213948230848
529623.78694287,4985073.9525786,0,0.00151843939896942,0.343732387629817
531783.78694287,4985073.9525786,0,0.00151769206182834,0.345250079691645
531303.78694287,4982433.9525786,0.0135248906460296,0.00151744298032994,0.346767522671975
531543.78694287,4984833.9525786,0.00552027254374159,0.00151564653929312,0.348283169211268
530103.78694287,4985313.9525786,0,0.00150780822182077,0.349790977433089
531303.78694287,4985313.9525786,0,0.00150739792591319,0.351298375359002
531783.78694287,4984113.9525786,0.0115305265814266,0.00150315349585603,0.352801528854858
531783.78694287,4982433.9525786,0.00946332436069987,0.00148800396743148,0.35428953282229
528903.78694287,4984353.9525786,0,0.00148339711137681,0.355772929933667
529383.78694287,4984833.9525786,0.00157722072678331,0.00147999373603664,0.357252923669703
529143.78694287,4982193.9525786,0.00118291554508748,0.00147863162649189,0.358731555296195
532503.78694287,4982433.9525786,0,0.00147657620755383,0.360208131503749
531783.78694287,4981713.9525786,0.000788610363391655,0.00147198301813571,0.361680114521885
532743.78694287,4983633.9525786,0,0.0014692914254787,0.363149405947364
529383.78694287,4982673.9525786,0.0091198771870794,0.00146438832124185,0.364613794268605
531543.78694287,4985313.9525786,0,0.00144299959978772,0.366056793868393
528903.78694287,4982433.9525786,0.000788610363391655,0.00144297708510675,0.3674997709535
531063.78694287,4981953.9525786,0.0098576295423957,0.00144198315671910,0.368941754110219
531063.78694287,4982673.9525786,0.0199757991251682,0.00143384774236782,0.370375601852587
528663.78694287,4983393.9525786,0.00118291554508748,0.00142868094198698,0.371804282794574
532263.78694287,4984353.9525786,0.00473166218034993,0.00142866627140890,0.373232949065983
529863.78694287,4985313.9525786,0.000394305181695828,0.00142644087265371,0.374659389938636
528663.78694287,4983153.9525786,0.00118291554508748,0.00141766248116201,0.376077052419798
532263.78694287,4981953.9525786,0,0.00141319193708089,0.377490244356879
529383.78694287,4985073.9525786,0,0.00141256091433570,0.378902805271215
532023.78694287,4985073.9525786,0,0.00141175236700535,0.38031455763822
532263.78694287,4984833.9525786,0.000394305181695828,0.00140421542291281,0.381718773061133
532023.78694287,4981713.9525786,0,0.00140270038769945,0.383121473448833
528663.78694287,4983633.9525786,0.00174054761103634,0.00139530156010164,0.384516775008934
530583.78694287,4985553.9525786,0,0.00139376081610618,0.38591053582504
530823.78694287,4985553.9525786,0,0.00139368889059256,0.387304224715633
528903.78694287,4984593.9525786,0,0.00139172122250081,0.388695945938134
532743.78694287,4982673.9525786,0,0.0013855171419405,0.390081463080074
532503.78694287,4982193.9525786,0,0.00138432879744011,0.391465791877514
530343.78694287,4985553.9525786,0,0.00137454687734321,0.392840338754858
531063.78694287,4985553.9525786,0,0.00137433598351211,0.39421467473837
530103.78694287,4985073.9525786,0.00696218876177658,0.00137078002329069,0.39558545476166
532503.78694287,4984353.9525786,0.00269248401749664,0.00136641806792228,0.396951872829583
529623.78694287,4985313.9525786,0,0.00136466103038668,0.398316533859969
532743.78694287,4982913.9525786,0.00174054761103634,0.00136235854275776,0.399678892402727
528903.78694287,4983153.9525786,0.00679886271870794,0.00135045658916795,0.401029348991895
530583.78694287,4984833.9525786,0.0131331763122476,0.00134049934289702,0.402369848334792
530103.78694287,4985553.9525786,0,0.00133732633512771,0.40370717466992
531303.78694287,4985553.9525786,0,0.00133699023804258,0.405044164907962
528663.78694287,4984353.9525786,0,0.00132572107212610,0.406369885980088
532743.78694287,4984353.9525786,0,0.00132459486938861,0.407694480849477
532743.78694287,4982433.9525786,0,0.00131992242357428,0.409014403273051
528423.78694287,4983393.9525786,0,0.00130570974070210,0.410320113013753
532263.78694287,4984593.9525786,0.00547805097577389,0.00130412418323103,0.411624237196985
532263.78694287,4985073.9525786,0,0.00129992999537476,0.412924167192359
528903.78694287,4984833.9525786,0,0.00129159433569401,0.414215761528053
532503.78694287,4984833.9525786,0,0.00129064127087098,0.415506402798924
532503.78694287,4984113.9525786,0.00640455753701211,0.00128603392178718,0.416792436720711
529863.78694287,4985553.9525786,0,0.00128443877798514,0.418076875498697
531543.78694287,4985553.9525786,0,0.00128399779905012,0.419360873297747
532503.78694287,4981953.9525786,0,0.00128392742659696,0.420644800724344
531303.78694287,4982193.9525786,0.0159547106325707,0.00128252339438224,0.421927324118726
528423.78694287,4983633.9525786,0.000394305181695828,0.00128218765349595,0.423209511772222
528423.78694287,4983153.9525786,0.000394305181695828,0.00128106858688658,0.424490580359108
529383.78694287,4985313.9525786,0,0.00127551253397398,0.425766092893082
532743.78694287,4983393.9525786,0.0050583151076716,0.00126968577053101,0.427035778663613
528663.78694287,4982913.9525786,0.00450068304172275,0.00125449578727391,0.428290274450887
528663.78694287,4984113.9525786,0.00348109438088829,0.00125172574552634,0.429542000196414
528663.78694287,4984593.9525786,0,0.00124913512853736,0.430791135324951
532743.78694287,4982193.9525786,0,0.0012428013301529,0.432033936655104
