x	y	Time	d2et	slope	elevm	ExtentFile
604769.883	5125347.91	1860	0	57	1531	005DDM_master_avail.txt
604194.579	5125476.49	1870	0	52	1359	005DDM_master_avail.txt
603983.469	5125499.64	1890	0	52	1338	005DDM_master_avail.txt
602439.372	5125737.28	1895	10	34	1287	005DDM_master_avail.txt
602404.745	5125789.46	1900	14	32	1303	005DDM_master_avail.txt
601106.95	5126152.68	1910	0	44	1376	005DDM_master_avail.txt
600893.28	5126145.75	1915	0	51	1354	005DDM_master_avail.txt
599386.04	5126152.24	1920	0	47	1315	005DDM_master_avail.txt
595409.411	5128754.22	1930	0	40	1379	005DDM_master_avail.txt
595855.934	5130228.27	1935	89	13	1576	005DDM_master_avail.txt
595748.71	5132394.84	1950	0	47	1507	005DDM_master_avail.txt
595736.13	5132432.77	1955	0	41	1523	005DDM_master_avail.txt
595612.382	5132563.7	1960	0	61	1459	005DDM_master_avail.txt
595539.298	5132609.3	1965	36	27	1437	005DDM_master_avail.txt
595222.431	5133648.26	1970	20	34	1421	005DDM_master_avail.txt
594810.325	5135276.13	1975	28	25	1602	005DDM_master_avail.txt
594951.912	5135882.02	1985	0	45	1460	005DDM_master_avail.txt
594896.59	5135923.12	2005	0	40	1410	005DDM_master_avail.txt
594951.355	5135906.94	2010	0	43	1442	005DDM_master_avail.txt
594588.887	5137262.8	2015	0	42	1523	005DDM_master_avail.txt
594384.437	5137787.41	2020	10	30	1469	005DDM_master_avail.txt
594158.69	5137987.32	2030	0	43	1368	005DDM_master_avail.txt
593822.433	5138061.13	2040	10	38	1330	005DDM_master_avail.txt
593949.22	5138108.57	2045	0	43	1280	005DDM_master_avail.txt
593968.731	5138111.48	2055	0	50	1289	005DDM_master_avail.txt
594023.566	5138051.93	2060	0	40	1358	005DDM_master_avail.txt
594099.258	5138037.12	2075	0	51	1340	005DDM_master_avail.txt
594056.797	5138065.71	2080	0	55	1323	005DDM_master_avail.txt
593518.598	5138234.16	2090	0	35	1317	005DDM_master_avail.txt
593570.227	5138243.23	2100	0	47	1287	005DDM_master_avail.txt
593570.117	5138247.38	2105	0	47	1287	005DDM_master_avail.txt
593793.366	5138009.09	2115	10	31	1393	005DDM_master_avail.txt
593798.439	5138010.77	2120	10	31	1393	005DDM_master_avail.txt
593804.056	5138022.01	2125	0	47	1367	005DDM_master_avail.txt
593796.142	5138046.53	2130	0	47	1350	005DDM_master_avail.txt
594471.134	5137776.91	2135	0	44	1452	005DDM_master_avail.txt
594456.578	5137727.2	2140	14	26	1488	005DDM_master_avail.txt
594528.606	5137809.59	2150	0	49	1392	005DDM_master_avail.txt
594538.991	5137805.95	2155	0	50	1373	005DDM_master_avail.txt
594481.516	5137831.98	2160	0	49	1407	005DDM_master_avail.txt
594462.427	5137738.84	2165	14	30	1483	005DDM_master_avail.txt
594454.535	5137751.85	2170	14	30	1483	005DDM_master_avail.txt
594489.737	5137703.08	2175	0	38	1464	005DDM_master_avail.txt
594354.665	5137817.83	2180	0	41	1453	005DDM_master_avail.txt
594258.599	5137906.5	2185	0	44	1393	005DDM_master_avail.txt
594247.387	5137916.44	2195	0	47	1366	005DDM_master_avail.txt
594234.527	5137900.62	2200	0	41	1410	005DDM_master_avail.txt
594196.579	5137781.52	2205	28	12	1489	005DDM_master_avail.txt
594177.544	5137200.67	2210	0	42	1394	005DDM_master_avail.txt
594363.677	5137061.91	2215	0	45	1488	005DDM_master_avail.txt
594394.085	5137107.89	2220	14	30	1521	005DDM_master_avail.txt
594204.114	5137191.49	2230	0	40	1406	005DDM_master_avail.txt
594323.365	5137079.89	2235	0	44	1447	005DDM_master_avail.txt
594636.378	5137354.99	2240	0	43	1541	005DDM_master_avail.txt
594580.457	5137388.08	2245	0	47	1568	005DDM_master_avail.txt
594576.135	5137395	2250	0	47	1568	005DDM_master_avail.txt
594686.046	5137278.91	2255	0	42	1460	005DDM_master_avail.txt
594632.973	5137290.5	2260	0	42	1513	005DDM_master_avail.txt
594478.307	5137845.01	2270	0	47	1381	005DDM_master_avail.txt
594473.471	5137810.7	2280	0	49	1433	005DDM_master_avail.txt
594521.756	5137869.39	2285	0	46	1327	005DDM_master_avail.txt
594549.423	5137817.12	2300	0	48	1352	005DDM_master_avail.txt
594544.841	5137770.97	2305	0	46	1397	005DDM_master_avail.txt
594574.376	5137750.95	2310	0	40	1393	005DDM_master_avail.txt
594589.283	5137757.68	2315	0	36	1378	005DDM_master_avail.txt
594517.193	5137835.37	2325	0	49	1371	005DDM_master_avail.txt
594516.747	5137856.2	2330	0	48	1349	005DDM_master_avail.txt
594507.729	5137624.56	2335	10	33	1486	005DDM_master_avail.txt
594484.345	5137547.05	2340	28	28	1517	005DDM_master_avail.txt
594536.231	5137451.71	2345	0	39	1537	005DDM_master_avail.txt
594535.955	5137448.63	2350	0	39	1537	005DDM_master_avail.txt
594468.804	5137605.9	2355	30	31	1505	005DDM_master_avail.txt
594515.623	5137637.25	2360	0	36	1469	005DDM_master_avail.txt
594520.104	5137655.79	2375	0	36	1465	005DDM_master_avail.txt
594407.08	5137061.43	2380	0	37	1507	005DDM_master_avail.txt
594220.853	5137087.4	2385	0	43	1353	005DDM_master_avail.txt
594083.061	5137234.78	2390	0	37	1347	005DDM_master_avail.txt
594116.49	5137217.17	2400	0	38	1378	005DDM_master_avail.txt
594247.727	5137070.94	2405	0	42	1382	005DDM_master_avail.txt
594399.977	5137073.58	2415	10	35	1523	005DDM_master_avail.txt
594509.296	5137195	2420	30	11	1547	005DDM_master_avail.txt
594606.737	5137360.9	2425	0	43	1561	005DDM_master_avail.txt
594540.515	5137038.43	2430	0	38	1485	005DDM_master_avail.txt
594451.452	5137058.45	2435	28	22	1533	005DDM_master_avail.txt
594763.489	5134969.65	2440	0	38	1524	005DDM_master_avail.txt
594750.787	5134891.38	2445	0	39	1500	005DDM_master_avail.txt
594629.2	5134820.68	2450	0	38	1593	005DDM_master_avail.txt
594836.167	5134644.31	2455	0	37	1448	005DDM_master_avail.txt
594838.531	5134645.65	2460	0	40	1428	005DDM_master_avail.txt
594793.265	5134652.5	2465	10	34	1463	005DDM_master_avail.txt
594836.257	5134643.48	2470	0	37	1448	005DDM_master_avail.txt
594806.574	5134637.35	2475	0	36	1467	005DDM_master_avail.txt
594851.789	5134649.57	2480	0	40	1428	005DDM_master_avail.txt
594850.623	5134641.43	2485	0	40	1428	005DDM_master_avail.txt
594855.463	5134652.84	2490	0	40	1428	005DDM_master_avail.txt
594820.174	5134864.66	2495	22	31	1444	005DDM_master_avail.txt
594763.664	5134847	2500	0	39	1472	005DDM_master_avail.txt
594827.356	5134873.35	2505	22	31	1444	005DDM_master_avail.txt
594844.616	5134905.83	2510	0	36	1452	005DDM_master_avail.txt
594831.2	5134889.33	2515	10	34	1457	005DDM_master_avail.txt
594988.453	5134753.2	2520	0	33	1323	005DDM_master_avail.txt
595009.379	5134750.39	2525	0	33	1323	005DDM_master_avail.txt
594969.998	5134768.76	2530	0	29	1335	005DDM_master_avail.txt
595020.581	5134755.9	2535	14	28	1306	005DDM_master_avail.txt
594818.611	5134863.73	2545	22	31	1444	005DDM_master_avail.txt
594888.566	5132799.86	2555	0	34	1594	005DDM_master_avail.txt
594884.957	5132810.7	2560	10	16	1606	005DDM_master_avail.txt
594895.751	5132847.1	2565	0	38	1592	005DDM_master_avail.txt
594873.366	5132806.18	2570	10	16	1606	005DDM_master_avail.txt
594750.301	5132678.84	2575	0	41	1577	005DDM_master_avail.txt
594740.711	5132691.67	2580	0	45	1564	005DDM_master_avail.txt
594669.404	5132610.96	2585	0	57	1574	005DDM_master_avail.txt
594617.477	5132546.14	2590	0	50	1533	005DDM_master_avail.txt
594614.499	5132658.26	2595	10	36	1460	005DDM_master_avail.txt
594671.332	5132606.77	2600	0	57	1574	005DDM_master_avail.txt
594692.321	5132592.47	2605	10	37	1594	005DDM_master_avail.txt
594692.332	5132597.23	2610	10	37	1594	005DDM_master_avail.txt
594672.695	5132605.26	2615	0	57	1574	005DDM_master_avail.txt
594592.498	5132546.75	2620	0	54	1484	005DDM_master_avail.txt
594695.605	5132597.58	2625	10	37	1594	005DDM_master_avail.txt
594710.589	5132602.21	2630	10	37	1594	005DDM_master_avail.txt
594687.516	5132511.3	2635	0	41	1521	005DDM_master_avail.txt
594725.444	5132609.68	2640	10	20	1602	005DDM_master_avail.txt
594796.314	5132614.48	2645	0	31	1618	005DDM_master_avail.txt
595226.57	5132555.64	2650	10	33	1644	005DDM_master_avail.txt
595227.124	5132553.66	2655	10	33	1644	005DDM_master_avail.txt
595254.752	5132533.77	2660	0	29	1640	005DDM_master_avail.txt
594622.925	5132466.86	2665	0	43	1479	005DDM_master_avail.txt
594494.828	5132269.05	2670	0	38	1320	005DDM_master_avail.txt
594496.409	5132282.27	2675	0	38	1320	005DDM_master_avail.txt
594558.14	5132476.09	2685	10	22	1474	005DDM_master_avail.txt
594584.305	5132578.22	2690	0	39	1450	005DDM_master_avail.txt
594631.495	5132472.64	2695	0	43	1479	005DDM_master_avail.txt
594629.902	5132471.09	2705	0	43	1479	005DDM_master_avail.txt
594368.887	5132334.85	2710	0	39	1312	005DDM_master_avail.txt
594449.091	5132333.02	2715	0	39	1340	005DDM_master_avail.txt
594596.526	5132480.56	2720	0	40	1476	005DDM_master_avail.txt
594638.575	5132472.73	2725	0	42	1481	005DDM_master_avail.txt
594635.834	5132477.22	2730	0	43	1479	005DDM_master_avail.txt
594603.252	5132544.67	2735	0	54	1484	005DDM_master_avail.txt
594692.748	5132624.45	2740	0	55	1565	005DDM_master_avail.txt
594636.891	5132494.94	2745	0	41	1502	005DDM_master_avail.txt
594638.794	5132494.82	2750	0	42	1503	005DDM_master_avail.txt
594625.55	5132495.64	2755	0	41	1502	005DDM_master_avail.txt
594884.133	5132762.24	2760	10	33	1607	005DDM_master_avail.txt
594936.796	5132699.89	2770	0	33	1663	005DDM_master_avail.txt
594641.492	5132493.08	2780	0	42	1503	005DDM_master_avail.txt
594257.723	5132197.66	2785	0	41	1171	005DDM_master_avail.txt
594267.688	5132228.3	2790	0	40	1201	005DDM_master_avail.txt
594245.964	5132167.61	2795	0	41	1157	005DDM_master_avail.txt
594279.498	5132223.7	2800	0	40	1201	005DDM_master_avail.txt
594644.796	5132221.08	2805	0	36	1328	005DDM_master_avail.txt
594930.597	5128713.82	2825	10	28	1740	005DDM_master_avail.txt
595188.282	5129033.69	2830	22	26	1622	005DDM_master_avail.txt
595068.551	5128936.26	2835	20	34	1615	005DDM_master_avail.txt
594993.925	5128708.76	2855	0	40	1649	005DDM_master_avail.txt
595241.022	5129002.12	2860	0	37	1598	005DDM_master_avail.txt
595037.711	5128894.86	2870	0	39	1627	005DDM_master_avail.txt
595147.143	5128888.16	2880	0	35	1558	005DDM_master_avail.txt
595068.955	5128830.22	2885	10	36	1592	005DDM_master_avail.txt
595236.669	5128832.35	2890	22	30	1489	005DDM_master_avail.txt
595207.193	5128776.54	2895	0	36	1502	005DDM_master_avail.txt
595212.201	5128789.8	2900	0	37	1505	005DDM_master_avail.txt
595535.065	5129389.02	2905	0	36	1573	005DDM_master_avail.txt
595159.996	5128991.98	2910	14	33	1621	005DDM_master_avail.txt
595618.059	5129475.2	2915	0	54	1503	005DDM_master_avail.txt
595612.273	5129497.97	2920	0	46	1544	005DDM_master_avail.txt
595619.518	5129493.16	2925	0	49	1519	005DDM_master_avail.txt
595649.324	5129577.04	2930	0	47	1521	005DDM_master_avail.txt
595587.348	5129389.03	2935	0	47	1532	005DDM_master_avail.txt
595621.007	5129493.48	2940	0	49	1519	005DDM_master_avail.txt
595581.84	5129423.1	2945	0	45	1539	005DDM_master_avail.txt
595599.414	5129350.31	2950	0	47	1495	005DDM_master_avail.txt
595598.222	5129353.66	2955	0	47	1495	005DDM_master_avail.txt
594270.878	5130227.74	2960	0	26	1513	005DDM_master_avail.txt
594356.192	5130029.66	2965	0	40	1559	005DDM_master_avail.txt
595165.86	5128919.66	2970	0	37	1566	005DDM_master_avail.txt
595662.313	5129466.16	2975	0	53	1477	005DDM_master_avail.txt
595397.686	5131149.64	2980	0	34	1494	005DDM_master_avail.txt
594578.167	5132505.48	2985	0	31	1486	005DDM_master_avail.txt
594558.34	5132504.91	2990	0	37	1465	005DDM_master_avail.txt
594508.589	5132284.56	2995	0	38	1320	005DDM_master_avail.txt
