x	y	d2et	slope	elevm
599164.999	5131937.454	253	3	682
599189.999	5131937.454	257	2	681
599214.999	5131937.454	266	12	684
599239.999	5131937.454	260	14	692
599264.999	5131937.454	231	10	696
599289.999	5131937.454	212	11	697
599314.999	5131937.454	184	15	701
599339.999	5131937.454	166	16	705
599364.999	5131937.454	139	17	709
599389.999	5131937.454	122	19	713
599414.999	5131937.454	99	18	717
599439.999	5131937.454	82	19	721
599464.999	5131937.454	54	23	729
599489.999	5131937.454	36	27	740
599514.999	5131937.454	20	30	751
599539.999	5131937.454	28	32	762
599564.999	5131937.454	32	32	772
599589.999	5131937.454	14	30	779
599614.999	5131937.454	10	26	794
599639.999	5131937.454	30	24	805
599664.999	5131937.454	32	29	818
599689.999	5131937.454	42	30	833
599714.999	5131937.454	20	31	846
599739.999	5131937.454	0	33	861
599764.999	5131937.454	10	33	876
599789.999	5131937.454	14	33	890
599814.999	5131937.454	22	34	907
599839.999	5131937.454	36	32	923
599864.999	5131937.454	28	31	938
599889.999	5131937.454	10	31	953
599914.999	5131937.454	20	30	969
599939.999	5131937.454	40	24	983
599964.999	5131937.454	32	21	991
599989.999	5131937.454	28	28	989
593614.999	5131912.454	81	24	919
593639.999	5131912.454	89	24	928
593664.999	5131912.454	106	24	935
593689.999	5131912.454	112	25	942
593714.999	5131912.454	90	26	953
593739.999	5131912.454	70	24	964
593764.999	5131912.454	40	24	970
593789.999	5131912.454	20	29	976
593814.999	5131912.454	0	32	988
593839.999	5131912.454	20	30	999
593864.999	5131912.454	40	30	1009
593889.999	5131912.454	40	29	1023
593914.999	5131912.454	50	27	1033
593939.999	5131912.454	51	28	1042
593964.999	5131912.454	36	30	1051
593989.999	5131912.454	22	33	1062
594014.999	5131912.454	0	35	1074
594039.999	5131912.454	0	36	1086
594064.999	5131912.454	0	36	1099
594089.999	5131912.454	0	36	1111
594114.999	5131912.454	0	34	1123
594139.999	5131912.454	0	38	1122
594164.999	5131912.454	0	41	1117
594189.999	5131912.454	0	42	1111
594214.999	5131912.454	0	43	1103
594239.999	5131912.454	0	44	1096
594264.999	5131912.454	0	43	1095
594289.999	5131912.454	0	40	1100
594314.999	5131912.454	10	36	1103
594339.999	5131912.454	14	34	1107
594364.999	5131912.454	14	33	1112
594389.999	5131912.454	14	32	1115
594414.999	5131912.454	32	27	1116
594439.999	5131912.454	14	23	1117
594464.999	5131912.454	0	38	1131
594489.999	5131912.454	0	43	1163
594514.999	5131912.454	0	39	1184
594539.999	5131912.454	10	36	1201
594564.999	5131912.454	0	36	1217
594589.999	5131912.454	0	36	1234
594614.999	5131912.454	10	32	1251
594639.999	5131912.454	22	29	1264
594664.999	5131912.454	0	32	1277
594689.999	5131912.454	10	32	1293
594714.999	5131912.454	10	30	1308
594739.999	5131912.454	20	32	1322
594764.999	5131912.454	10	34	1339
594789.999	5131912.454	20	33	1355
594814.999	5131912.454	36	31	1369
594839.999	5131912.454	28	31	1383
594864.999	5131912.454	0	32	1396
594889.999	5131912.454	0	32	1410
594914.999	5131912.454	28	31	1423
594939.999	5131912.454	20	32	1437
594964.999	5131912.454	0	34	1449
594989.999	5131912.454	0	35	1459
595014.999	5131912.454	14	34	1471
595039.999	5131912.454	20	34	1483
595064.999	5131912.454	20	33	1496
595089.999	5131912.454	0	37	1507
595114.999	5131912.454	0	38	1529
595139.999	5131912.454	20	34	1544
595164.999	5131912.454	32	32	1559
595189.999	5131912.454	30	32	1570
595214.999	5131912.454	42	33	1585
595239.999	5131912.454	58	31	1601
595264.999	5131912.454	85	30	1614
595289.999	5131912.454	90	29	1628
595314.999	5131912.454	80	28	1641
595339.999	5131912.454	60	26	1654
595364.999	5131912.454	30	18	1664
595389.999	5131912.454	10	17	1669
595414.999	5131912.454	0	38	1649
595439.999	5131912.454	0	36	1629
595464.999	5131912.454	22	33	1613
595489.999	5131912.454	36	31	1599
595514.999	5131912.454	54	26	1586
595539.999	5131912.454	64	21	1576
595564.999	5131912.454	86	20	1571
595589.999	5131912.454	103	21	1565
595614.999	5131912.454	130	21	1560
595639.999	5131912.454	120	20	1557
595664.999	5131912.454	103	20	1555
595689.999	5131912.454	92	21	1551
595714.999	5131912.454	76	21	1546
595739.999	5131912.454	71	22	1540
595764.999	5131912.454	61	22	1533
595789.999	5131912.454	54	21	1525
595814.999	5131912.454	45	21	1518
595839.999	5131912.454	28	25	1512
595864.999	5131912.454	20	29	1508
595889.999	5131912.454	20	30	1508
595914.999	5131912.454	36	29	1509
595939.999	5131912.454	54	25	1510
595964.999	5131912.454	82	20	1508
595989.999	5131912.454	100	21	1499
596014.999	5131912.454	100	23	1488
596039.999	5131912.454	104	24	1477
596064.999	5131912.454	117	26	1466
596089.999	5131912.454	128	27	1453
596114.999	5131912.454	146	30	1441
596139.999	5131912.454	152	32	1424
596164.999	5131912.454	166	28	1410
596189.999	5131912.454	178	24	1397
596214.999	5131912.454	166	21	1387
596239.999	5131912.454	157	21	1378
596264.999	5131912.454	146	26	1369
596289.999	5131912.454	141	29	1354
596314.999	5131912.454	136	26	1340
596339.999	5131912.454	117	24	1330
596364.999	5131912.454	89	24	1319
596389.999	5131912.454	72	19	1307
596414.999	5131912.454	50	18	1302
596439.999	5131912.454	41	25	1307
596464.999	5131912.454	41	26	1310
596489.999	5131912.454	50	26	1311
596514.999	5131912.454	40	28	1311
596539.999	5131912.454	40	29	1310
596564.999	5131912.454	36	31	1306
596589.999	5131912.454	30	29	1301
596614.999	5131912.454	40	25	1299
596639.999	5131912.454	40	24	1305
596664.999	5131912.454	50	27	1316
596689.999	5131912.454	58	28	1326
596714.999	5131912.454	36	29	1337
596739.999	5131912.454	20	31	1347
596764.999	5131912.454	10	28	1362
596789.999	5131912.454	22	13	1370
596814.999	5131912.454	20	13	1370
596839.999	5131912.454	0	31	1357
596864.999	5131912.454	20	31	1339
596889.999	5131912.454	40	30	1326
596914.999	5131912.454	10	33	1311
596939.999	5131912.454	0	34	1293
596964.999	5131912.454	22	30	1277
596989.999	5131912.454	28	30	1263
597014.999	5131912.454	0	34	1247
597039.999	5131912.454	0	34	1230
597064.999	5131912.454	14	30	1216
597089.999	5131912.454	10	33	1205
597114.999	5131912.454	0	39	1205
597139.999	5131912.454	0	39	1204
597164.999	5131912.454	0	40	1195
597189.999	5131912.454	0	40	1184
597214.999	5131912.454	0	37	1171
597239.999	5131912.454	0	36	1162
597264.999	5131912.454	0	37	1152
597289.999	5131912.454	0	38	1141
597314.999	5131912.454	0	39	1130
597339.999	5131912.454	0	40	1119
597364.999	5131912.454	0	39	1104
597389.999	5131912.454	10	36	1092
597414.999	5131912.454	0	36	1082
597439.999	5131912.454	0	35	1069
597464.999	5131912.454	10	32	1056
597489.999	5131912.454	28	28	1046
597514.999	5131912.454	36	25	1035
597539.999	5131912.454	22	25	1028
597564.999	5131912.454	14	29	1018
597589.999	5131912.454	20	32	1006
597614.999	5131912.454	0	34	995
597639.999	5131912.454	0	35	981
597664.999	5131912.454	0	34	969
597689.999	5131912.454	14	32	958
597714.999	5131912.454	20	31	948
597739.999	5131912.454	28	30	936
597764.999	5131912.454	40	27	927
597789.999	5131912.454	20	29	919
597814.999	5131912.454	0	28	906
597839.999	5131912.454	10	18	895
597864.999	5131912.454	10	12	887
597889.999	5131912.454	0	28	891
597914.999	5131912.454	0	37	897
597939.999	5131912.454	0	41	900
597964.999	5131912.454	0	42	906
597989.999	5131912.454	0	40	909
598014.999	5131912.454	0	37	910
598039.999	5131912.454	0	36	908
598064.999	5131912.454	0	33	907
598089.999	5131912.454	14	28	912
598114.999	5131912.454	41	24	913
598139.999	5131912.454	61	23	912
598164.999	5131912.454	91	24	910
598189.999	5131912.454	110	24	907
598214.999	5131912.454	140	23	904
598239.999	5131912.454	160	23	900
598264.999	5131912.454	172	23	893
598289.999	5131912.454	161	22	887
598314.999	5131912.454	149	22	884
598339.999	5131912.454	143	21	879
598364.999	5131912.454	117	18	874
598389.999	5131912.454	98	15	871
598414.999	5131912.454	72	15	867
598439.999	5131912.454	57	15	863
598464.999	5131912.454	36	18	858
598489.999	5131912.454	22	25	853
598514.999	5131912.454	10	31	843
598539.999	5131912.454	0	33	830
598564.999	5131912.454	22	31	819
598589.999	5131912.454	41	31	807
598614.999	5131912.454	40	31	794
598639.999	5131912.454	45	30	781
598664.999	5131912.454	64	29	768
598689.999	5131912.454	76	29	756
598714.999	5131912.454	50	30	743
598739.999	5131912.454	36	28	729
598764.999	5131912.454	32	26	719
598789.999	5131912.454	42	18	706
598814.999	5131912.454	67	7	704
598839.999	5131912.454	85	6	702
598864.999	5131912.454	114	7	699
598889.999	5131912.454	133	5	696
598914.999	5131912.454	163	4	695
598939.999	5131912.454	182	3	693
598964.999	5131912.454	212	2	693
598989.999	5131912.454	232	3	692
599014.999	5131912.454	246	3	691
599039.999	5131912.454	238	3	690
599064.999	5131912.454	228	3	689
599089.999	5131912.454	224	3	687
