x	y	d2et	slope	elevm
604174.891	5152199.420	0	37	1443
604199.891	5152199.420	0	37	1449
604224.891	5152199.420	10	38	1449
604249.891	5152199.420	0	40	1444
604274.891	5152199.420	0	42	1435
604299.891	5152199.420	0	41	1424
604324.891	5152199.420	0	38	1411
604349.891	5152199.420	0	36	1400
604374.891	5152199.420	20	32	1388
604399.891	5152199.420	20	31	1388
604424.891	5152199.420	28	30	1387
604449.891	5152199.420	41	29	1383
604474.891	5152199.420	54	28	1377
604499.891	5152199.420	64	29	1370
604524.891	5152199.420	81	30	1360
604549.891	5152199.420	71	30	1349
604574.891	5152199.420	41	28	1338
604599.891	5152199.420	22	30	1328
604624.891	5152199.420	0	34	1313
604649.891	5152199.420	10	37	1296
604674.891	5152199.420	10	35	1276
604699.891	5152199.420	20	33	1263
604724.891	5152199.420	0	35	1256
604749.891	5152199.420	0	34	1249
604774.891	5152199.420	30	29	1242
604799.891	5152199.420	50	26	1236
604824.891	5152199.420	71	27	1229
604849.891	5152199.420	81	28	1218
604874.891	5152199.420	99	27	1208
604899.891	5152199.420	100	29	1199
604924.891	5152199.420	70	31	1186
604949.891	5152199.420	50	31	1174
604974.891	5152199.420	20	32	1162
604999.891	5152199.420	0	36	1148
605024.891	5152199.420	0	37	1130
605049.891	5152199.420	14	32	1117
605074.891	5152199.420	14	33	1107
605099.891	5152199.420	0	36	1094
605124.891	5152199.420	10	35	1078
605149.891	5152199.420	22	31	1067
605174.891	5152199.420	40	31	1056
605199.891	5152199.420	20	33	1045
605224.891	5152199.420	0	35	1030
605249.891	5152199.420	0	36	1015
605274.891	5152199.420	0	35	1000
605299.891	5152199.420	10	32	986
605324.891	5152199.420	32	26	974
605349.891	5152199.420	51	20	967
605374.891	5152199.420	78	17	962
605399.891	5152199.420	92	17	956
605424.891	5152199.420	117	16	952
605449.891	5152199.420	134	17	948
605474.891	5152199.420	135	18	944
605499.891	5152199.420	120	18	940
605524.891	5152199.420	100	18	935
605549.891	5152199.420	89	17	931
605574.891	5152199.420	81	17	928
605599.891	5152199.420	71	19	923
605624.891	5152199.420	50	20	919
605649.891	5152199.420	36	24	914
605674.891	5152199.420	20	29	908
605699.891	5152199.420	10	34	900
605724.891	5152199.420	0	38	889
605749.891	5152199.420	0	38	876
605774.891	5152199.420	10	34	865
605799.891	5152199.420	22	32	857
605824.891	5152199.420	0	36	849
605849.891	5152199.420	0	39	833
605874.891	5152199.420	10	30	815
605899.891	5152199.420	20	11	805
605924.891	5152199.420	10	21	806
605949.891	5152199.420	22	29	814
605974.891	5152199.420	36	28	819
605999.891	5152199.420	22	26	822
606024.891	5152199.420	0	28	831
606049.891	5152199.420	10	26	850
606074.891	5152199.420	40	18	859
606099.891	5152199.420	60	17	866
606124.891	5152199.420	90	19	874
606149.891	5152199.420	85	20	882
606174.891	5152199.420	58	18	890
606199.891	5152199.420	41	16	895
606224.891	5152199.420	14	23	900
606249.891	5152199.420	0	30	910
606274.891	5152199.420	10	34	922
606299.891	5152199.420	0	34	935
606324.891	5152199.420	10	33	948
606349.891	5152199.420	20	31	959
606374.891	5152199.420	30	32	971
606399.891	5152199.420	36	32	985
606424.891	5152199.420	57	32	998
606449.891	5152199.420	72	31	1011
606474.891	5152199.420	94	30	1022
606499.891	5152199.420	103	27	1035
606524.891	5152199.420	120	22	1043
606549.891	5152199.420	135	18	1049
606574.891	5152199.420	156	16	1054
606599.891	5152199.420	149	14	1056
606624.891	5152199.420	121	13	1056
606649.891	5152199.420	103	13	1054
606674.891	5152199.420	78	13	1051
606699.891	5152199.420	64	15	1047
606724.891	5152199.420	41	20	1041
606749.891	5152199.420	22	24	1032
606774.891	5152199.420	10	27	1028
606799.891	5152199.420	20	29	1032
606824.891	5152199.420	36	27	1034
606849.891	5152199.420	41	27	1033
606874.891	5152199.420	14	30	1030
606899.891	5152199.420	10	33	1023
606924.891	5152199.420	14	34	1014
606949.891	5152199.420	10	35	1006
606974.891	5152199.420	0	38	997
606999.891	5152199.420	0	42	984
607024.891	5152199.420	0	44	967
607049.891	5152199.420	0	43	951
607074.891	5152199.420	0	42	936
607099.891	5152199.420	0	41	920
607124.891	5152199.420	0	38	906
607149.891	5152199.420	0	36	893
607174.891	5152199.420	10	35	881
607199.891	5152199.420	10	37	870
607224.891	5152199.420	0	41	856
607249.891	5152199.420	0	43	839
607274.891	5152199.420	0	43	823
607299.891	5152199.420	0	40	806
607324.891	5152199.420	10	33	791
607349.891	5152199.420	14	30	786
607374.891	5152199.420	0	35	775
607399.891	5152199.420	0	42	758
607424.891	5152199.420	0	41	733
607449.891	5152199.420	10	35	716
607474.891	5152199.420	10	31	705
607499.891	5152199.420	22	29	700
607524.891	5152199.420	45	25	690
607549.891	5152199.420	63	16	685
607574.891	5152199.420	92	9	687
607599.891	5152199.420	110	7	690
607624.891	5152199.420	114	7	694
607649.891	5152199.420	121	7	697
607674.891	5152199.420	136	7	699
607699.891	5152199.420	149	8	701
607724.891	5152199.420	170	8	704
607749.891	5152199.420	179	8	707
607774.891	5152199.420	168	7	709
607799.891	5152199.420	163	7	710
607824.891	5152199.420	153	9	711
607849.891	5152199.420	136	11	713
607874.891	5152199.420	113	12	715
607899.891	5152199.420	99	10	715
607924.891	5152199.420	78	5	716
607949.891	5152199.420	64	5	717
607974.891	5152199.420	42	11	719
607999.891	5152199.420	28	21	725
608024.891	5152199.420	0	33	734
